id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
3560904,"Bright, nice room in 120m2 flat",17927072,Mi,,Noord-Oost,52.395467080098605,4.955364286682362,Private room,60,2,42,2015-07-31,3.12,1,269
2353432,Lovely house +garden +free parking!,12018031,Marjolein & Ernst,,Noord-Oost,52.394770523573634,4.931712598174663,Entire home/apt,125,5,2,2015-07-18,0.15,1,245
7839527,Family house (170m2) with garden,19794594,Lauran & Sanne,,Noord-Oost,52.389901875402344,4.957005683747336,Entire home/apt,99,1,0,,,1,0
613088,Your own cottage in the countryside,3040748,Henk,,Noord-Oost,52.40991541897414,4.962910611730041,Entire home/apt,78,1,107,2015-08-25,2.90,3,325
3370809,Romantic historic houseboat,17006203,Mirjam,,Noord-Oost,52.37483152256371,4.980242527076867,Entire home/apt,135,3,0,,,1,306
6680635,lovely family house in quiet street,34640268,Berber,,Noord-Oost,52.40692566617077,4.932043914310048,Entire home/apt,100,11,1,2015-07-24,0.70,1,65
5897261,Your double apartment on wheels,3040748,Henk,,Noord-Oost,52.41121372991402,4.947321391956235,Entire home/apt,70,2,12,2015-09-02,2.81,3,187
5595867,Spacious room with private bathroom,224275,Arnoud,,Noord-Oost,52.39890501813169,4.950883451095282,Private room,55,2,11,2015-08-02,1.99,1,44
761411,Amsterdam CQS  - Clean Quiet Safe,4013546,Xiong,,Noord-Oost,52.399415060290295,4.95310647349768,Private room,46,2,84,2015-08-17,2.44,2,336
3837825,Charming room + Wi-Fi,19768980,Georgette,,Noord-Oost,52.393943755834236,4.956864810532326,Private room,35,1,1,2015-05-17,0.27,3,247
6484413,NICE APARTMENT IN AMSTERDAM NORTH,33887116,John,,Noord-Oost,52.39849008251281,4.94561165793727,Entire home/apt,125,2,10,2015-08-17,3.26,1,340
839727,"Authentic ship ""Vrouwe Johanna""",4386675,Amsterdam,,Noord-Oost,52.374395868370634,4.979868851110586,Entire home/apt,300,2,4,2015-07-26,0.15,1,345
3896355,"Private  parking, 10min from Center",13861116,August,,Noord-Oost,52.39990889715478,4.9299913307223795,Entire home/apt,64,3,28,2015-07-24,2.44,6,251
6943965,Spacious family house,6604622,Charlotte,,Noord-Oost,52.389066074531605,4.954847611182758,Entire home/apt,140,7,2,2015-07-31,1.30,1,47
2719038,Little House close to Amsterdam,13060291,Aletta,,Noord-Oost,52.39735771428765,5.004451413105496,Entire home/apt,79,1,73,2015-08-31,4.30,1,170
933225,Jade guestroom in B&B,4682602,Lia,,Noord-West,52.41530462746487,4.885876773054022,Private room,95,1,2,2015-07-04,0.43,4,361
8116496,Charming cozy house + 2 bikes!,42858237,Ronella,,Noord-West,52.42041310741893,4.895366084105756,Entire home/apt,80,2,0,,,1,7
2013595,Cozy little house in trendy north,10358685,Annette,,Noord-West,52.41436958229927,4.8900327703074415,Entire home/apt,95,3,0,,,1,93
7049460,Family house with garden NDSM,5689155,Lotte,,Noord-West,52.41468291469318,4.881594417787742,Entire home/apt,72,1,3,2015-08-12,2.31,1,41
7376406,Luxery Appartment Amsterdam,38633025,Joy,,Noord-West,52.4190412738496,4.882013978181276,Entire home/apt,145,1,0,,,2,362
7681345,Beautiful apartment in Amsterdam,40342277,Ryadh,,Noord-West,52.41799473609809,4.891262883550142,Entire home/apt,109,1,1,2015-09-03,1,1,333
5223111,Organic green B & B in Amsterdam,11117054,Edmee,,Noord-West,52.41727663906916,4.905429268966305,Private room,79,2,20,2015-08-31,3.11,1,341
3385173,Spacious new house near city centre,17078793,Ilja,,Noord-West,52.40942037206237,4.906514099395513,Entire home/apt,250,2,17,2015-08-23,1.26,1,212
6022379,Be Home in Amsterdam Noord +parking,10507416,Reto & Tania,,Noord-West,52.4085471522564,4.901864310808434,Entire home/apt,100,2,3,2015-07-28,0.88,1,13
6770259,Private & stylish garden guesthouse,15756422,Marijke,,Noord-West,52.41745841041692,4.899786571061315,Entire home/apt,129,3,2,2015-08-23,0.91,1,156
6811699,The Sailing Dutchman + 2 free bikes,11944049,Maik,,Noord-West,52.40951909373108,4.907795975548771,Entire home/apt,70,1,0,,,6,357
7448083,Ground Floor Studio in A'dam Noord,26981073,Tjoet,,Noord-West,52.41565748402039,4.899668884969312,Entire home/apt,60,1,5,2015-08-20,4.29,2,344
1643260,Lovely 2 rooms apartment ,13949901,Afina,,Noord-West,52.41041208702454,4.896873735261594,Entire home/apt,150,2,9,2015-06-02,0.42,1,343
2910674,Uniek gelegen familiehuis,14870124,Sandra,,Noord-West,52.41838840463818,4.903857461150053,Entire home/apt,150,2,5,2015-08-11,0.38,1,244
5891027,Basic Garden House in a Green A'dam,30593666,Trevelbadi,,Noord-West,52.41422895696265,4.8998901728848985,Entire home/apt,45,1,16,2015-08-23,3.66,1,358
4282686,Amsterdam North is the place to be!,22233513,Jeroen,,Noord-West,52.40716003312525,4.9148460367653115,Private room,62,2,37,2015-08-27,4.53,1,350
6963313,A ROOM WITH A VIEW (OVER THE WATER),4781137,Joke,,Noord-West,52.405369405180025,4.903191837873579,Private room,65,2,4,2015-07-21,1.88,4,326
2745981,Large Room Adam for rent 20-06/09-7,14048336,Timon,,Noord-West,52.405406078114815,4.911130197050452,Private room,35,20,0,,,1,365
4961851,Spacious and Cozy Apartment,25578633,Benjamin,,Noord-West,52.406569490585696,4.908171581123927,Entire home/apt,112,2,33,2015-08-27,5.18,1,324
4952268,"Wooden houseboat, unique location",689724,Eva & Bernard,,Noord-West,52.40619609262304,4.907385632250181,Entire home/apt,140,2,6,2015-08-25,3.53,1,235
3122759,Brand new house: center and meadows,15862404,Pamela,,Noord-West,52.40901607759744,4.926802694968427,Entire home/apt,125,5,3,2015-07-26,0.22,1,88
7945086,Cozy apartment in Amsterdam Noord,3175612,María,,Noord-West,52.40955480251815,4.92277654187001,Entire home/apt,50,5,0,,,1,3
5388929,"Amsterdam North, hip and happening",24180541,Liesbeth,,Noord-West,52.410696898904085,4.893964391156387,Private room,65,2,1,2015-08-04,1,1,327
884252,B&B Single room with garden,4682602,Lia,,Noord-West,52.41419664956612,4.885833741031809,Private room,65,1,23,2015-08-30,0.81,4,305
6834902,Cosy house in classic GardenVillage,4446371,Edwin,,Noord-West,52.409430019996414,4.889236808964599,Entire home/apt,99,2,3,2015-08-24,1.70,1,59
874340,The Room Upstairs - Free parking,4615590,Marta,,Noord-West,52.423647392541575,4.887019217701105,Private room,65,1,174,2015-08-24,6.08,5,322
3819951,Cosy& new Home -Amsterdam NDSM area,6971809,Dorien,,Noord-West,52.40550396560155,4.901622414788666,Entire home/apt,110,3,2,2015-06-28,0.73,1,109
5366642,Appartement vlakbij Amsterdam! ,27821823,Daphne,,Noord-West,52.40584545656369,4.8998001962507,Entire home/apt,75,1,0,,,1,245
3568357,Spacious and light A'dam apartment,14837629,Simone,,Noord-West,52.404042015417154,4.900853956913756,Entire home/apt,95,2,13,2015-07-13,1.05,1,243
3492869,Charming little red-brick house,11198361,Maaike,,Noord-West,52.413433488014995,4.884816667459128,Entire home/apt,99,1,16,2015-08-02,1.19,1,306
3942085,Private room in Amsterdam,3684584,Florian,,Noord-West,52.42181737590049,4.887597927621361,Private room,35,2,21,2015-08-21,1.73,1,349
2888202,"Big & Nice House, Close to CENTER!!",14760430,Alper,,Noord-West,52.40201336541028,4.916676068812221,Entire home/apt,130,2,13,2015-07-19,0.80,1,351
7934770,Characteristic houseboat,4979621,Jorrit&Dirk,,Noord-West,52.41125773040616,4.90241170777291,Entire home/apt,150,2,1,2015-08-22,1,81,348
889702,Family house with garden,4720967,Remy,,Noord-West,52.410178082608844,4.906253052129276,Private room,65,1,9,2014-11-23,0.33,1,365
7242227,Spacious Place with a fancy garden,24614297,Quinn,,Noord-West,52.40420675024412,4.908045775477179,Private room,59,1,5,2015-08-31,2.73,1,338
7624372,Dubblebed for couples,39995537,Claudia,,Noord-West,52.40704476643015,4.914090318178557,Private room,75,2,0,,,1,358
3249154,Charming family house with garden,15054166,Tesse,,Noord-West,52.4158545741136,4.880859311198003,Entire home/apt,90,2,13,2015-07-07,1.05,1,0
7111455,Private 1st floor room&bathroom,20919943,Ellen,,Noord-West,52.42511555976292,4.888423579037638,Private room,60,3,8,2015-09-01,5.45,1,306
743480,Studio 20 minutes from A'dam center,3895097,Jill,,Noord-West,52.425380706290554,4.889900360445682,Entire home/apt,65,2,37,2015-08-30,1.07,1,217
3113878,Happy home in Amsterdam Noord,15822709,Frank,,Noord-West,52.41809333879134,4.90434340693492,Entire home/apt,75,5,16,2015-08-02,1.19,1,330
4208249,Groundfloor apartment with garden,10892406,Miluska,,Noord-West,52.40939641022803,4.90238907009196,Entire home/apt,64,2,22,2015-08-20,2.02,1,78
6587565,"Blue House Amsterdam, free parking",26294656,Peter En Katja,,Noord-West,52.41849887855857,4.901440020570259,Entire home/apt,85,2,8,2015-08-20,3.87,1,344
7374118,Mooie zonnige luxe appartement,38633025,Joy,,Noord-West,52.420001951860975,4.880741541541687,Entire home/apt,145,1,0,,,2,365
6980918,Cosy 1 Bedroom Amsterdam Apartment,4816887,Isim,,Noord-West,52.41811605236558,4.884234154293042,Entire home/apt,60,3,0,,,1,51
5713368,Beautiful industrial loft ,29621807,Maurice,,Noord-West,52.41133040014749,4.90464616910642,Entire home/apt,200,3,0,,,1,275
2797128,Big family house-10 min. center,6945968,Wouter,,Noord-West,52.406747474398465,4.923414110032056,Entire home/apt,120,2,3,2015-08-07,0.81,1,138
7145053,Apartment with balcony-free parking,4235222,Marc,,Noord-West,52.404879344611764,4.909867477326286,Entire home/apt,110,2,3,2015-08-30,3,1,48
667305,"Green, sportive experience in A'dam",3375589,Fred Alexander,,Noord-West,52.42037138379263,4.894702949373991,Entire home/apt,100,2,9,2015-07-19,0.34,1,323
6212033,Beautiful luxurious Loft,8236804,Elien,,Noord-West,52.40831266361912,4.904830410430274,Entire home/apt,85,2,14,2015-09-01,3.93,2,18
7669476,Private Room in Beautiful House,5590622,Nicola&Akiko,,Noord-West,52.41835967898771,4.90111444750572,Private room,50,2,5,2015-08-31,5,1,313
2735075,A dike house with view on a pasture,6253175,Karin,,Noord-West,52.411771468657186,4.908218024286782,Entire home/apt,225,1,22,2015-08-31,1.34,1,232
7155847,2(p) room in the house on the water,37470201,Galina,,Noord-West,52.41653376675393,4.899823384208554,Private room,95,3,2,2015-08-15,2,2,355
933207,Blue (bridal) guestroom/canopybed,4682602,Lia,,Noord-West,52.41498869623347,4.886503201347751,Private room,105,1,0,,,4,309
5507178,Quiet & central at the same time,6369942,Anne,,Noord-West,52.401284570259435,4.909118653194554,Entire home/apt,125,2,5,2015-07-15,1.16,1,160
6828574,"House with garden, 15 min downtown.",35770841,Elin,,Noord-West,52.414198429717715,4.884270495699708,Entire home/apt,50,12,1,2015-08-09,1,1,54
7178511,Nice Room in a Dutch house,22858016,Carmen,,Noord-West,52.41408914964575,4.891257485509886,Private room,60,3,1,2015-07-27,0.77,6,360
1383297,Family home + garden - Free Parking,4615590,Marta,,Noord-West,52.42427530026133,4.887210760565971,Entire home/apt,150,2,0,,,5,312
7156340,1 (p)room in the house on the water,37470201,Galina,,Noord-West,52.414794645865626,4.899407464731241,Private room,75,2,5,2015-08-31,3.26,2,345
2097548,Big Familyhouse+ bikes 10 mn centre,3188453,Mark,,Noord-West,52.404403447884995,4.920124036874879,Entire home/apt,125,3,10,2015-08-07,0.49,1,256
6468420,Cosy full house in calm area,25745744,Jolanda,,Noord-West,52.41434960245583,4.892952675471951,Entire home/apt,90,2,0,,,44,242
5226749,Charming Cosy Room with Balcony,922728,Masoom,,Noord-West,52.413754495441786,4.9123440067477375,Private room,30,1,3,2015-08-04,2.31,1,27
5403528,Fijn huis in rustige buurt ,6559278,Sandra,,Noord-West,52.41965715227206,4.902989646507225,Entire home/apt,100,3,4,2015-08-09,1.09,2,7
5439959,JUST A PERFECT LOFT TO STAY,4781137,Joke,,Noord-West,52.404104077379166,4.903408088294042,Private room,125,4,5,2015-09-01,1.00,4,351
6392669,Vrijstaand huis in Amsterdam!,17417943,Marieke,,Noord-West,52.41717668618394,4.904080161958212,Entire home/apt,140,5,2,2015-08-11,1.82,1,95
6982667,Beautiful Houseboat wth Lush Garden,36610500,Leon,,Noord-West,52.39949814522081,4.921976779037379,Entire home/apt,190,3,1,2015-07-15,0.59,1,45
6793478,Lovely house Amsterdam Centrum 5.p,33645148,Bo &,,Noord-West,52.41218669078084,4.915148543326571,Entire home/apt,105,2,16,2015-08-25,6.49,1,286
7512251,Amsterdam hotspot with free parking,12693120,Elles,,Noord-West,52.40242493123144,4.913631663903444,Entire home/apt,100,4,0,,,2,30
7456687,Family-house Amsterdam Noord ,16454384,Roos,,Noord-West,52.41185689221597,4.888463632893488,Entire home/apt,114,3,5,2015-08-25,4.69,1,40
4661466,Sleeping Beauty + 2 free bikes,11944049,Maik,,Noord-West,52.40902571356554,4.906504763056343,Entire home/apt,39,1,22,2015-08-19,2.73,6,345
4525538,Spacious and clean apartment,19801139,Vanessa,,Noord-West,52.40719662978416,4.898092630246104,Entire home/apt,135,2,2,2015-04-07,0.25,2,276
2592291,Large clean house by the canal,13270719,Igor,,Noord-West,52.40996558282969,4.902158237556295,Entire home/apt,130,1,12,2015-08-23,0.69,1,332
2362966,Unique studio in old horse stables,12069700,Edwin,,Noord-West,52.422232173421996,4.890982224849556,Entire home/apt,100,2,0,,,1,337
1928474,Great house (NDSM Amsterdam North),9988208,Erik,,Noord-West,52.40895089938002,4.899948184321923,Entire home/apt,152,3,1,2014-10-19,0.09,1,245
6874244,Cosy studio for single/duble use,36025288,Olga,,Noord-West,52.40626959765129,4.9156147363483065,Entire home/apt,70,3,13,2015-08-31,5.20,1,52
1708244,Amsterdam privat spacious room NDSM,8817734,Nienke & Gert,,Noord-West,52.40779075545296,4.9011009103002,Private room,75,2,23,2015-08-22,1.36,1,272
7097981,Family House with big garden,37203380,Simonetta,,Noord-West,52.41070985994159,4.907993266299391,Entire home/apt,200,3,1,2015-08-21,1,1,361
6546899,Lovely house - NDSM free parking,34245670,Martijn,,Noord-West,52.41505841969124,4.893954873714969,Entire home/apt,152,1,1,2015-08-04,0.94,1,74
5312713,"Top Room, Fantastic Waterfront View",4781137,Joke,,Noord-West,52.40557812300984,4.903993066485962,Private room,85,2,5,2015-08-28,1.00,4,324
6223768,Cozy gardenhouse in Amsterdam,32276005,Zita,,Noord-West,52.42005888355176,4.895374748119271,Entire home/apt,89,2,33,2015-09-02,7.92,1,132
1833963,Private shower & Free Parking! ,9590018,The Old Bath House,,Noord-West,52.416506665942606,4.87891867052098,Private room,58,1,68,2015-08-17,3.04,1,309
5215009,Top-floor studio in the green A'dam,26981073,Tjoet,,Noord-West,52.41531332840474,4.899706183351682,Entire home/apt,70,1,30,2015-08-27,5.03,2,346
4752191,Romantic Circus wagon +2 free bikes,11944049,Maik,,Noord-West,52.41033801617976,4.908039962107901,Entire home/apt,40,1,18,2015-08-24,3.03,6,322
7705953,"Light, spacious app. > couple + kid",14144043,Ingrid,,Noord-West,52.40721932445757,4.910214093396073,Entire home/apt,85,2,0,,,1,266
3937891,"Amsterdam, loft, free parking, buss",20402807,Freek En Mariette,,Noord-West,52.413204633568284,4.885024005844777,Entire home/apt,140,2,46,2015-09-03,3.88,1,332
7739393,Charming house with sunny garden,6478595,Sanne,,Noord-West,52.412988143862805,4.889277786939885,Entire home/apt,115,2,3,2015-09-01,3,1,330
2338618,Vintage Camper + 2 free bikes,11944049,Maik,,Noord-West,52.40993379371159,4.906505031978531,Entire home/apt,40,1,59,2015-08-20,3.62,6,340
2531121,Romantic Fishing-Boat +2 free bikes,11944049,Maik,,Noord-West,52.40799333415077,4.90865365217189,Entire home/apt,49,1,52,2015-08-20,3.28,6,340
1291054,The Room Downstairs - Free parking,4615590,Marta,,Noord-West,52.42349770077537,4.888058686921706,Private room,65,1,150,2015-08-21,5.75,5,316
5403090,Nice room with breakfast for 2 p.,6559278,Sandra,,Noord-West,52.421171111628325,4.901331710479738,Private room,49,2,17,2015-08-24,2.83,2,33
884108,Cozy studio with garden and terrace,4682602,Lia,,Noord-West,52.415553925359525,4.885679571557475,Entire home/apt,110,2,2,2014-06-25,0.12,4,354
3144955,Cozy Chicken Caravan + 2 free bikes,11944049,Maik,,Noord-West,52.41033528248949,4.9079235175493325,Entire home/apt,60,1,47,2015-07-18,3.10,6,344
6344463,Volledig Appartement te Amsterdam,33043121,Gulsen,,Noord-West,52.42002643712823,4.888756149512843,Entire home/apt,170,1,7,2015-08-16,1.89,1,354
4630306,Bright and cosy house,17314787,Eva,,Noord-West,52.41703033826859,4.882220657024865,Entire home/apt,75,2,1,2015-05-17,0.27,1,245
7759950,Guest house-bikes-fireplace-jacuzzi,40803322,Kristoffer,,Noord-West,52.418373195080136,4.9003622674023815,Private room,75,1,2,2015-08-30,2,1,14
6300592,Double Room New Centraal,2336797,Adam,,Noord-West,52.4103878421073,4.90345769422496,Private room,60,3,1,2015-05-19,0.28,1,94
2829905,Simple room FREE PARKING & WIFI,9849176,Flow & Dan,,Noord-West,52.41089572642337,4.895938812227113,Private room,50,1,34,2015-01-02,2.04,1,214
6429875,Spacious house for family / friends,8236804,Elien,,Noord-West,52.40711686965244,4.90413624918011,Entire home/apt,155,2,0,,,2,219
